Lake_Name,Round ,date,JD,Edible_Chl,dent,cerio ,pulic,Bosmina,parv,ambig,diaph ,scaph ,alona,chaob ,ostr ,cal ,cyc ,overall_m_prev,N_ug,P_ug,Z_bottom,n_max,bfs,d_tcline,t_tcline, depth_Ezi,T_Ezi,d1mgL,mDO,mspc,mpH,mT,mchlv,mchla
Beaver Dam,11,10/29/09,302,7.24,"876,129.89","2,517.61","5,035.23","20,140.92",0,0,0,0,0,31,,,,0.08,395.35,18.28,6.95,11.89,0.02,3.51,13.71,6.95,15.19,6.91,8.67,"1,087.33",7.05,13.77,0.05,4.93
Beaver Dam,12,11/5/09,309,3.29,"1,062,433.38","2,517.61","5,035.23","27,693.76",0,0,0,0,0,27,,,,0.07,348.19,21.49,6.99,15.16,0.03,1.03,13.15,6.99,15,6.98,8.73,"1,037.33",7.08,12.72,0.08,8.79
Beaver Dam,13,11/12/09,316,2.72,,,,,,,,,,,,,,0.01,350.74,12.04,6.99,9.72,0.02,2.43,12.53,6.99,14.75,6.83,8.22,"1,063.17",7.07,12.49,0.05,4.98
Beaver Dam,15,11/24/09,328,2.59,"65,457.98",0,"2,517.61","41,960.24",0,0,0,0,0,11,,,,0,248.38,7.49,7.96,8.32,0.01,4.39,10.54,7.96,13.92,6.79,7.37,"1,302.00",7.17,11.17,0.04,3.59
Benefiel,1,8/18/09,230,4.5,"176,862.43","42,799.45","22,658.53",0,0,0,"3,147.02",0,0,11,,,,0,307.63,10.78,7.04,61.79,0.11,4.59,24.83,3.19,28.61,7.04,7.21,"1,786.33",7.55,28.91,0.01,0.8
Benefiel,2,8/25/09,237,3.08,"131,419.48","85,598.90","4,028.18",0,0,0,0,0,0,15,,,,0,330.69,7.69,7.78,50.12,0.09,4.77,24.22,4.22,25.58,7.78,7.22,"1,819.00",7.39,25.84,0.01,1.18
Benefiel,3,9/1/09,244,2.82,"333,583.94","234,138.16",0,"1,258.81",0,0,"129,657.15",0,0,105,,,,0,330.69,8.51,6.98,53.06,0.09,5.61,22.53,5.06,24.11,6.98,7.46,"1,911.60",7.28,24.68,0.01,0.94
Benefiel,4,9/8/09,251,4.4,"375,124.58","259,314.31",0,"103,222.20",0,0,0,0,0,132,,,,,284.57,6.59,7.11,46.61,0.08,5.73,22.15,4.73,24.11,7.11,7.45,"1,856.50",7.43,24.5,0.01,0.96
Benefiel,5,9/15/09,258,3.81,"455,688.25","251,761.46",0,0,0,0,"52,869.91",0,0,47,,,,0,327.66,7.29,7.43,48.61,0.08,5.75,22.07,5.1,23.65,7.43,7.57,"1,872.00",7.4,24.3,0.01,0.88
Benefiel,6,9/22/09,265,3.59,"66,716.79","190,079.91",0,0,0,0,"21,399.72",0,0,39,,,,,342.22,6.97,6.98,50.5,0.09,6.96,18.55,5.26,23.26,6.98,7.46,"1,869.80",7.33,23.63,0.01,1.09
Benefiel,7,9/29/09,272,4.37,"254,279.08","196,373.94",0,0,0,0,"12,588.07",0,0,8,,,,0.07,306.49,7.29,6.97,47.44,0.08,6.93,18.97,6.13,21.13,6.97,7.06,"1,901.33",7.03,21.33,0.02,1.21
Benefiel,8,10/7/09,280,4.69,"193,856.33","435,547.33",0,0,0,0,"5,035.23",0,0,0,,,,0,295.9,7.29,7.04,7.31,0.01,2.54,18,7.04,18.53,7.04,7.54,"1,856.57",7.11,18,0.02,1.67
Benefiel,9,10/13/09,286,6.7,"151,056.88","349,948.43",0,0,0,0,"7,552.84",0,0,11,,,,0,259.76,9.37,7.01,8.09,0.01,4.58,16.51,7.01,17.93,7.01,8.07,"1,846.86",7.14,16.5,0.02,2.23
Benefiel,10,10/20/09,293,6.86,"29,372.17","146,860.85",0,0,0,0,"3,356.82",0,0,11,,,,0,265.65,7.23,7,3.79,0.01,1.1,13.94,7,15.66,7,8.42,"1,856.33",7.09,13.93,0.03,2.56
Benefiel,11,10/27/09,300,6.66,"32,414.29","41,225.94",0,0,0,0,314.7,0,0,3,,,,0,271.55,12.58,6.94,10.26,0.02,2.53,14.12,6.94,14.98,6.94,9.12,"1,848.67",7.26,14.05,0.04,4.48
Benefiel,12,11/3/09,307,5.45,"53,499.31","45,946.47",0,0,0,0,"1,888.21",0,0,0,,,,0.01,289.23,6.88,7.02,4.27,0.01,5.58,13.42,7.02,14.51,7.02,9.05,"1,838.67",7.48,13.44,0.04,3.55
Benefiel,13,11/10/09,314,4.57,"59,793.35","30,840.78",0,0,0,0,0,0,0,0,,,,0,254.4,6.07,6.98,9.26,0.02,3.36,13.09,6.98,13.96,6.98,9.1,"1,851.00",7.3,13.11,0.03,2.3
Benefiel,14,11/18/09,322,2.95,"82,242.08","10,909.66",0,419.6,0,0,0,0,0,3,,,,0,284.51,6.6,7.01,3.99,0.01,1.04,11.77,7.01,12.15,7.01,8.91,"1,846.33",7.57,11.77,0.02,1.73
Benefiel,15,11/24/09,328,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,
Canvasback,0,8/11/09,223,,,,,,,,,,,,,,,0.11,307.63,7.48,,,,,,,,,,,,,,
Canvasback,1,8/20/09,232,2.81,"94,410.55",0,"69,863.81",0,0,0,0,0,0,10,,,,0,221.14,6.16,11.95,70.55,0.12,4.53,21.71,3.13,27.65,11.43,8.26,"2,618.67",7.62,27.75,0.01,0.79
Canvasback,2,8/27/09,239,1.85,"113,292.66",0,"77,206.85",0,0,0,0,0,0,8,,,,0,186.55,7.95,18.16,74.89,0.13,4.59,22.24,4.04,25.14,11.24,9.39,"2,695.50",7.45,25.68,0.01,0.73
Canvasback,3,9/3/09,246,2.29,"283,231.65",0,"215,256.05",0,0,0,0,0,0,20,,,,0,186.55,6.42,13.99,65.58,0.11,5.59,18.24,4.24,23.46,11.29,9.66,"2,713.00",7.5,23.54,0.01,0.67
Canvasback,4,9/10/09,253,2.67,"430,512.10",0,"229,102.93",0,0,0,0,0,0,47,,,,0,269.44,6.25,12.52,66.05,0.12,5.51,19.6,4.26,23.82,10.61,9.3,"2,714.00",7.59,23.97,0.01,0.7
Canvasback,5,9/17/09,260,,"31,050.58",0,"81,402.87",0,0,0,0,0,0,32,,,,0.01,205.93,5.38,11.92,68.35,0.12,5.54,20.15,4.64,23.14,9.99,9.29,"2,740.25",7.55,23.57,0.01,0.64
Canvasback,6,9/24/09,267,3.24,"31,470.18",0,"26,854.56",0,0,0,0,0,0,25,,,,0.01,221.81,7.29,12.05,60.24,0.11,5.69,20.38,5.04,22.7,10.39,8.94,"2,730.25",7.57,23.37,0.02,1.35
Canvasback,7,10/1/09,274,2.98,"192,597.52","1,258.81","15,105.69",0,0,0,0,0,0,11,,,,0.03,205.93,8.33,11.98,63,0.11,6.46,17.28,6.01,19.41,9.76,9.42,"2,757.50",7.19,19.66,0.01,1.16
Canvasback,8,10/8/09,281,2.59,"260,992.72",0,"7,552.84",0,0,0,0,0,0,11,,,,0.04,189.01,6.16,11.18,75.63,0.13,7.05,14.82,6.45,17.03,9.83,9.36,"2,676.17",7.27,17.17,0.02,1.25
Canvasback,9,10/15/09,288,4.01,"171,197.80",0,"1,258.81",0,0,0,0,0,0,24,,,,0.06,389.46,6.16,,,,,,,,,,,,,,
Canvasback,10,10/16/09,289,3.39,"152,315.69",0,"1,258.81",0,0,0,0,0,0,11,,,,0.07,253.86,7.41,16.02,36.07,0.06,7.55,13.67,7.15,14.63,10.1,9.43,"2,629.88",7.28,14.72,0.02,1.95
Canvasback,11,10/29/09,302,3.75,"174,974.22",0,0,629.4,0,0,0,0,0,7,,,,0.04,224.38,8.48,11.77,27.99,0.05,8.44,12.46,8.04,13.15,10.24,9.78,"2,685.88",7.2,13.74,0.02,2.28
Canvasback,12,11/5/09,309,3.81,"610,521.55","2,517.61",0,0,0,0,0,0,0,15,,,,0.09,176.13,5.81,14.06,29.41,0.05,8.58,12.16,8.23,12.82,9.53,9.73,"2,698.75",7.3,12.81,0.02,2.2
Canvasback,13,11/12/09,316,4.59,"135,951.19",0,0,0,0,0,0,0,0,2,,,,0.16,224.3,9.44,12.98,22.49,0.04,8.54,12.12,8.29,12.44,9.89,9.93,"2,698.00",7.38,12.61,0.02,1.88
Canvasback,15,11/24/09,328,5.64,"388,971.46",0,0,0,0,0,0,0,0,10,,,,0.12,272.46,8.73,9.97,18.18,0.03,9.93,11.22,9.97,11.18,8.88,9.04,"2,707.89",7.42,11.22,0.03,2.5
Canvasback,16,12/3/09,337,10.15,"358,760.09",0,0,0,0,0,0,0,0,24,,,,0.3,,,11.08,11.13,0.02,11.08,10.6,11.08,10.6,8.83,7.61,"2,801.00",7.23,9.41,0.07,6.79
Dogwood,1,8/18/09,230,5.75,,,,,,,,,,8,,,,0,422.94,10.73,7.02,59.71,0.1,4.53,23.52,3.08,27.33,6.68,5.02,"1,264.00",7.19,27.85,0.02,1.89
Dogwood,2,8/25/09,237,5.15,,,,,,,,,,21,,,,0,428.71,9.93,6.1,58.3,0.1,4.69,23.23,4.14,25.09,6.09,5.18,"1,288.00",7.12,25.32,0.02,2.2
Dogwood,4,9/8/09,251,7.15,"354,983.66","419,182.84","3,776.42","33,987.80",0,0,0,0,0,44,,,,,428.71,13.74,8.25,48.93,0.09,5.64,20.84,4.39,23.42,6.14,5.99,"1,314.25",7.23,23.75,0.02,1.88
Dogwood,5,9/15/09,258,4.81,"273,161.19","365,054.12",0,"20,140.92",0,0,0,0,0,117,,,,0,438.81,11.81,9.09,58.75,0.1,5.62,20.74,4.87,22.97,6.02,5.96,"1,328.00",7.25,23.52,0.03,2.38
Dogwood,6,9/22/09,265,4.82,"295,819.72","319,737.06",0,"3,776.42",0,0,0,0,0,143,,,,,440.24,25.19,10.06,51.42,0.09,5.67,20.94,5.12,22.48,5.97,6.35,"1,323.20",7.24,22.89,0.08,8.16
Dogwood,7,9/29/09,272,4.38,"191,338.71","315,960.64",0,"6,294.04",0,0,0,0,0,116,,,,0,433.52,16.68,8.15,53.34,0.09,6.58,18.39,5.58,20.82,5.98,5.11,"1,310.20",7.02,21.19,0.03,2.7
Dogwood,8,10/7/09,280,5.57,"516,111.00","954,175.95",0,"27,693.76",0,0,0,0,0,181,,,,0,497.03,12.51,11.01,45.2,0.08,7.57,15.94,7.12,17.33,7.82,5.18,"1,300.13",6.98,17.67,0.03,2.6
Dogwood,9,10/13/09,286,6.81,"294,560.91","395,265.50",0,"15,105.69",0,0,"5,035.23",0,0,107,,,,0,449.4,11.69,10,36.93,0.06,8.52,14.19,8.02,15.33,7.77,4.75,"1,291.25",6.93,15.81,0.03,2.37
Dogwood,10,10/20/09,293,8.73,"95,669.36","137,210.00",0,"15,105.69",0,0,0,0,0,28,,,,0,460.2,14.9,9.94,25.34,0.04,9.88,11.78,9.28,12.69,9.93,5.8,"1,290.67",6.96,13.14,0.03,3.15
Dogwood,11,10/27/09,300,15.54,"30,211.38","36,085.81",0,"7,552.84",0,0,0,0,419.6,1,,,,0,365.87,15.25,9.87,21.4,0.04,9.85,12.08,9.45,12.54,9.7,6.46,"1,287.44",7.08,13.36,0.05,5.12
Dogwood,12,11/3/09,307,17.44,"78,046.05","50,352.29",0,"129,657.15",0,0,"1,258.81",0,0,5,,,,0.01,483.78,15.43,9.05,5.93,0.01,1.09,12.93,9.05,12.75,9.05,6.99,"1,279.88",7.13,12.83,0.1,10.45
Dogwood,13,11/10/09,314,23.01,"97,557.57","25,176.15",0,"27,693.76",0,0,0,0,0,0,,,,0,460.2,16.35,8.93,14.58,0.03,1.13,12.79,8.93,11.93,8.93,7.85,"1,286.88",7.18,12.22,0.07,7.14
Dogwood,14,11/18/09,322,11.76,"52,869.91","7,133.24",0,"243,369.41",0,"4,196.02",0,0,0,1,,,,0,549.43,16,9.81,4.15,0.01,9.78,11.06,9.81,11.06,9.81,7.68,"1,282.78",7.5,11.15,0.09,9.95
Dogwood,16,12/3/09,337,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,
Downing,1,8/21/09,233,1.84,"75,024.92",0,"54,884.00",0,0,0,0,0,0,31,,,,0,221.14,8.68,9.09,49.17,0.09,4.64,26.43,4.14,27.52,9.09,7.76,"1,838.00",7.69,27.67,0.01,0.59
Downing,2,8/27/09,239,2.24,"438,064.95","10,070.46","23,917.34",0,0,0,0,0,0,18,,,,0.01,238.44,6.59,8.14,48.55,0.08,5.59,24.23,0.19,27.52,8.14,8.46,"1,867.00",7.8,27.05,0.01,0.37
Downing,3,9/1/09,244,2.51,"268,545.56","46,156.27","11,748.87",0,0,0,0,0,0,5,,,,0.02,209.61,6.92,8.86,56.16,0.1,6.59,22.92,6.09,24.52,8.84,9.71,"1,926.86",7.7,24.95,0.01,0.7
Downing,4,9/8/09,251,1.33,"444,358.98","84,340.09","31,470.18",0,0,0,0,0,0,16,,,,,186.55,6.33,8.81,49.26,0.09,6.57,22.96,6.07,24.16,8.81,10.26,"1,926.86",7.61,24.51,0.01,0.64
Downing,5,9/15/09,258,1.52,"537,510.73","17,623.30","2,517.61",0,0,0,0,0,0,7,,,,0.06,232.68,5.2,9.04,42.02,0.07,6.7,22.89,6.25,23.77,9.04,8.9,"1,912.71",7.63,24.08,0.01,0.59
Downing,6,9/22/09,265,3.01,"273,161.19","104,481.01","5,035.23",0,0,0,0,0,0,3,,,,0.05,248.27,5.9,8.04,64.63,0.11,8.02,20.61,6.52,23.08,8.04,8.37,"1,919.86",7.6,23.69,0.01,0.75
Downing,7,9/29/09,272,3.79,"200,150.36","31,470.18",0,0,0,0,0,0,0,9,,,,0.09,248.27,7.46,6.99,7.04,0.01,6.98,21.59,6.99,21.59,6.99,8.46,"1,927.29",7.43,21.65,0.02,1.42
Downing,8,10/7/09,280,5.19,"458,205.86","65,457.98",0,0,0,0,0,0,0,2,,,,0.07,242.98,6.59,8.96,10.69,0.02,2.63,18.96,8.96,18.66,8.96,7.95,"1,896.00",7.33,18.87,0.01,0.72
Downing,9,10/13/09,286,7.71,"715,002.56","45,317.06",0,0,0,0,0,0,0,0,,,,0,200.8,7.05,7.01,5.59,0.01,1.71,17.18,7.01,17.13,7.01,8.05,"1,891.43",7.29,17.16,0.01,1.19
Downing,10,10/20/09,293,4.23,"521,146.23","143,504.03",0,0,0,0,0,0,0,0,,,,0.04,159.53,9.55,7.6,13.29,0.02,1.13,15.17,7.6,14.82,7.6,8.51,"1,903.00",7.45,14.91,0.01,1.16
Downing,11,10/27/09,300,2.95,"455,688.25","8,811.65",0,0,0,0,0,0,0,2,,,,0.06,236.17,8.12,7.94,6.91,0.01,4.48,14.65,7.94,14.56,7.94,9.1,"1,911.86",7.37,14.67,0.02,1.88
Downing,12,11/3/09,307,2.93,"269,384.77",0,"83,081.28",0,0,0,0,0,0,0,,,,0.04,247.96,15.07,7.98,14.51,0.03,1.15,14.36,7.98,13.86,7.98,8.97,"1,903.43",7.45,14.02,0.01,1.14
Downing,13,11/10/09,314,3.58,"102,383.00","16,784.10",0,0,0,0,0,0,0,1,,,,0.02,218.28,6.52,7.9,14.77,0.03,1.09,13.83,7.9,13.23,7.9,9.27,"1,915.57",7.42,13.46,0.01,0.93
Downing,14,11/18/09,322,1.89,"226,585.32","5,874.43",0,0,0,0,0,0,0,0,,,,0,266.44,6.25,8.86,3.15,0.01,1,12.19,8.86,12.12,8.86,9.08,"1,916.00",7.74,12.15,0.01,1.15
Gambill,1,8/21/09,233,1.85,"658,356.23","21,399.72",0,0,0,0,0,"44,058.26",0,0,,,,0,123.13,3.77,10.59,63.42,0.11,4.73,24.92,4.13,27.05,10.59,7.84,"1,673.80",7.35,27.15,0.01,0.62
Gambill,2,8/27/09,239,1.77,"184,625.07","5,874.43","93,151.74",0,0,0,"3,356.82",0,0,8,,,,0,117.36,8.03,10.01,58.02,0.1,5.55,22.07,4.25,25.42,10.01,7.71,"1,365.00",7.52,27.19,0.01,0.34
Gambill,3,9/3/09,246,2.88,"115,810.27",0,"142,664.83",0,0,0,0,0,0,8,,,,0,123.13,5.63,10.01,52.03,0.09,5.66,21.96,5.06,23.64,10.01,8.25,"1,742.33",7.17,24.02,0.01,0.5
Gambill,4,9/10/09,253,1.79,"180,009.45","2,517.61","52,869.91",0,0,0,0,0,0,13,,,,0,179.46,4.33,10.05,54.51,0.1,5.68,22.16,5.13,23.86,10.05,8.12,"1,784.00",7.26,24.3,0.01,0.58
Gambill,5,9/17/09,260,1.91,"162,386.14","10,070.46","22,658.53",0,0,0,0,0,0,27,,,,0,205.93,7.64,10.04,50.05,0.09,5.73,21.95,5.23,23.25,10.04,8.02,"1,773.67",7.34,23.32,0.01,0.8
Gambill,6,9/24/09,267,1.3,"130,915.96","3,356.82","1,678.41",0,0,0,0,0,0,26,,,,,140.43,4.68,10.94,45.75,0.08,6.56,19.77,5.26,23,10.94,7.92,"1,775.50",7.26,23.31,0.01,0.82
Gambill,7,10/1/09,274,2.81,"90,004.72","3,776.42","1,258.81",0,0,0,0,0,0,,,,,0,168.88,4.85,10.03,41.46,0.07,6.67,19.15,6.17,20.21,10.03,8.12,"1,800.71",7,20.35,0.01,1.03
Gambill,8,10/8/09,281,2.44,"94,410.55","1,888.21",0,0,0,0,629.4,0,0,12,,,,0.01,158.29,6.25,9.99,40.61,0.07,7.61,17.02,7.16,18.04,9.99,7.34,"1,835.50",6.84,18.05,0.01,1.09
Gambill,9,10/15/09,288,2.98,"5,489.03",322.88,71.75,0,0,0,0,0,0,1,,,,0.01,159.53,12.22,9.99,34.74,0.06,8.51,14.54,7.86,15.7,9.99,8.1,"1,805.88",6.84,15.69,0.01,1.1
Gambill,10,10/16/09,289,3.1,"93,151.74","1,888.21",629.4,0,0,0,0,0,0,1,,,,0,271.55,6.16,,,,,,,,,,,,,,
Gambill,11,10/29/09,302,2.98,"92,312.54","3,356.82",0,0,0,0,0,0,0,2,,,,0.03,389.46,6.7,9.92,28.69,0.05,9.89,12.72,9.19,13.91,9.92,7.46,"1,895.11",6.75,13.98,0.02,1.34
Gambill,12,11/3/09,307,5.23,"143,504.03","3,776.42",0,0,0,0,0,0,0,1,,,,0.01,135.95,11.87,9.97,29.94,0.05,9.95,12.54,9.2,13.92,9.97,7.64,"1,893.11",6.78,13.62,0.02,1.39
Gambill,13,11/10/09,314,3.25,"119,167.09","2,517.61",0,0,0,0,0,0,0,0,,,,0,103.88,4.3,10.95,26.96,0.05,9.61,13.05,9.26,13.6,10.76,7.73,"1,899.44",6.79,13.1,0.02,1.29
Gambill,14,11/18/09,322,2.13,"76,787.25",314.7,0,314.7,0,0,0,0,0,3,,,,0.01,115.92,8.91,10.04,21.48,0.04,10.04,12.51,9.84,12.74,9.99,7.6,"1,895.56",7.13,12.05,0.01,0.95
Goodman,1,8/18/09,230,2.14,"157,770.52","3,356.82","161,127.34",0,0,0,0,0,0,48,,,,0,255.74,29.12,8.05,56.9,0.1,4.57,23.33,3.07,27.49,7.02,7.04,"1,306.00",7.55,28.03,0.01,0.89
Goodman,2,8/25/09,237,1.53,"47,331.16","1,510.57","76,031.96",0,0,0,0,0,0,,,,,0,221.14,18.04,6.04,55.75,0.1,4.71,23.28,4.11,25.11,6.04,7.82,"1,322.25",7.54,25.52,0.03,2.74
Goodman,4,9/8/09,251,2.75,"168,050.78","20,770.32","15,735.09",0,0,0,0,0,0,226,,,,,301.86,20.13,6.92,54.6,0.1,5.49,20.16,4.24,23.74,5.44,7.92,"1,346.20",7.51,23.94,0.02,1.38
Goodman,5,9/15/09,258,2.66,"156,092.11","47,834.68","20,140.92",0,0,0,0,0,0,329,,,,0.02,278.8,13.55,6.98,60.6,0.11,5.64,20.23,4.49,23.52,6.98,7.63,"1,355.25",7.54,23.83,0.02,1.69
Goodman,6,9/22/09,265,3.79,"141,825.62","114,971.07","20,980.12",0,0,0,0,0,0,,,,,0.01,317.08,15.98,7.96,60.79,0.11,5.63,20.6,5.08,22.72,5.88,7.37,"1,363.33",7.46,23.33,0.17,18.2
Goodman,7,9/29/09,272,4.24,"222,389.29","27,693.76",0,0,0,839.2,0,0,0,524,,,,0.02,327.66,21.72,7.04,46.56,0.08,5.72,19.72,5.12,21.24,5.87,7.31,"1,351.83",7.36,21.41,0.03,2.62
Goodman,8,10/7/09,280,4.82,"511,075.77","166,162.57",0,0,0,0,0,0,0,202,,,,0.06,359.42,22.07,7.01,43.98,0.08,6.89,15.85,6.19,17.79,6.99,5.63,"1,328.00",7.14,18.11,0.04,3.69
Goodman,9,10/13/09,286,4.89,"467,017.52","139,727.61","1,258.81",0,0,0,0,0,0,33,,,,0.01,418.93,33.07,6.04,6.46,0.01,2.51,16.38,6.04,16.3,6.04,6.59,"1,317.50",7.14,16.37,0.07,7.71
Goodman,10,10/20/09,293,6.9,"647,026.96","274,420.00","17,623.30",0,0,0,0,0,0,14,,,,0.04,513.26,50.36,7.02,17.04,0.03,0.26,14.39,7.02,13.72,7.02,6.59,"1,318.57",7.11,13.96,0.08,8.02
Goodman,11,10/27/09,300,10.2,"354,983.66","55,387.52","13,846.88",0,0,0,0,0,0,,,,,0.09,754.98,75.84,6.87,10.23,0.02,2.38,14,6.87,13.76,6.87,8.61,"1,310.50",7.26,13.94,0.14,15.01
Goodman,12,11/3/09,307,4.41,"878,647.51","55,387.52","15,105.69",0,0,0,0,0,0,0,,,,0.04,637.07,55.88,7.1,13.33,0.02,1.07,13.68,7.1,13.23,7.1,8.68,"1,300.83",7.28,13.41,0.1,10.56
Goodman,13,11/10/09,314,5.38,"241,691.01","20,140.92","18,882.11",0,0,0,0,0,0,,,,,0.01,531.36,52.34,7.99,14.99,0.03,1.06,13.64,7.99,12.7,7.99,8.61,"1,303.43",7.3,12.97,0.13,13.3
